,City,lat,lon,dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,wind_gust
133,yellowknife,73.124,-103.5377,1657410439,32.9,29.07,1014,99,32.65,1.75,100,120,4.05,12,4.09
134,ushuaia,-55.2723,-56.498,1657410441,34.36,24.4,999,70,26.35,0.0,73,4048,15.61,185,16.13
135,port elizabeth,-86.9821,37.8295,1657410442,-65.51,-78.11,1039,100,-65.51,0.0,100,10000,9.28,20,8.79
136,bengkulu,-17.226,92.912,1657410444,75.07,76.08,1017,81,68.85,0.0,100,10000,28.32,122,29.82
137,hambantota,-4.1639,85.8788,1657410446,83.55,91.08,1009,75,74.79,0.0,42,10000,17.9,113,18.75
138,kapaa,21.1817,-168.4899,1657410447,80.11,83.52,1018,73,70.68,11.8,23,10000,15.64,84,16.17
139,kapaa,24.468,-165.6658,1657410449,78.98,78.98,1021,73,69.58,10.79,17,10000,15.57,100,17.78
140,ushuaia,-74.0872,-75.5269,1657410450,-31.32,-43.92,1003,64,-38.6,0.0,0,10000,6.69,124,6.55
141,tasiilaq,89.5541,-37.766,1657410452,31.51,20.86,996,91,29.46,1.09,100,9239,15.28,266,20.22
142,airai,18.5498,148.8865,1657410454,84.25,92.79,1013,75,75.47,8.77,89,10000,11.16,92,11.99
143,agha jari,30.6457,49.8492,1657410455,90.81,87.67,992,24,49.06,0.0,22,10000,1.81,277,2.91
144,east london,-52.2145,43.188,1657410457,32.56,20.5,1017,77,26.83,0.0,81,10000,20.76,284,25.1
145,dondo,-19.4307,34.6065,1657410458,60.03,60.24,1022,96,58.89,0.0,46,10000,3.18,52,5.48
146,kavieng,7.8801,157.3567,1657410460,81.36,86.83,1011,78,73.83,1.99,100,10000,18.39,114,23.73
147,belyy yar,61.2022,85.1015,1657410462,65.1,65.5,1010,89,61.79,0.58,67,10000,4.99,323,16.42
148,turayf,32.076,37.8125,1657410463,72.25,70.83,1004,35,43.11,0.0,2,10000,9.04,271,15.28
149,high level,59.2907,-117.1646,1657410465,72.37,71.33,1003,43,48.65,0.87,93,10000,7.09,290,10.18
150,yellowknife,72.6909,-118.3674,1657410466,51.94,49.95,1010,66,40.96,2.05,31,1328,2.93,175,4.43
151,rennes,48.1201,-1.766,1657410468,63.03,62.56,1027,75,54.99,0.0,0,10000,5.75,10,
